,views
1818,1237938
1319,1485801
2071,1419325
1498,1000495
492,739428
472,414396
973,558524
1989,1626686
2082,1222519
2297,1707855
89,4165572
1882,1863929
97,609087
1066,827607
1023,1595655
1600,4790701
787,710327
1909,7841509
449,2064604
550,1705132
2190,827933
2370,1081270
218,4119616
1696,1623637
178,403089
433,680984
1606,1624605
1340,1555722
1320,497489
1500,986726
1815,3104326
2048,1954438
567,4329332
1591,795097
1643,1189824
681,1373377
1516,926295
1409,1422767
741,833901
1305,1951290
1863,2832581
1548,1514912
483,935859
2107,1025698
2168,2603203
2391,1164777
437,437529
1805,1120694
780,1064574
548,15601385
853,1474192
1085,1803069
2303,1057942
782,1740568
958,291251
1773,1568869
2015,1716203
1007,161462
1858,1674355
551,556163
1604,2124521
673,1049847
2385,1128877
686,1424250
1944,1447861
458,1118954
817,3421371
1267,472121
752,31168150
121,1049727
1589,1395038
699,1147609
876,909194
2352,957803
2135,990075
1040,3680820
896,812508
2286,1257858
578,2797058
1444,1022050
855,650274
2138,1258539
38,745231
1317,4146987
31,1030267
2029,1008812
106,1371482
1750,1439341
23,9260764
710,317127
69,2138907
199,974087
2153,1548845
1119,2098639
2287,4503368
1127,1605113
1579,1185518
1190,2623011
2106,1049990
1270,2723934
1173,1009356
1098,702977
1531,5893321
2319,1318454
1242,1024326
384,744448
1148,832407
265,375734
1900,1711049
1926,1710873
1016,2203020
1458,2067955
1134,1128212
1534,1822907
1064,2702500
504,1095398
276,556147
809,710619
339,930647
2122,4235594
1532,921788
945,471545
2349,1493866
185,596961
798,2783715
930,399332
2066,902761
744,849372
978,485285
1903,1566602
1120,2371897
1972,1242903
61,691814
1775,817014
1602,1191342
797,1866264
2381,1026708
1973,958480
2406,761258
1151,3886045
141,1914263
2262,2031509
2260,799873
1986,3436514
1331,932561
193,807628
646,2785058
1526,1203523
33,503517
360,1097511
800,4609857
2233,1389133
57,1409327
938,2901853
1954,2094497
358,1263442
1069,5917201
2173,1713788
1568,1458485
2096,1183075
68,1520908
1342,1193896
291,421212
46,904215
923,1564173
277,657688
2340,1085138
2397,888252
224,944836
864,1832930
381,308276
2080,1426970
1816,818556
364,677150
1451,1100997
1390,1567528
933,1776828
1024,611461
773,465856
1931,990084
1859,1143028
66,1663001
1203,2302206
1055,1104692
867,1621707
1868,1386424
1739,1015320
28,7023562
294,344618
1650,2375405
113,404402
245,217663
1439,1570996
1022,1005287
1793,1601624
1185,729428
980,1791790
1702,1260362
411,1485196
2159,1026017
1062,17629275
116,308879
2348,841955
2221,3225186
247,327542
1513,2290464
665,1123482
751,702793
2110,923916
1351,4259204
92,643078
1405,2026001
114,1136037
1376,1624716
254,4883112
429,3661633
588,3433437
2431,542088
2353,874817
118,1801117
1413,948509
132,561703
162,707524
263,580298
2140,997650
1313,815594
246,497899
1907,1905680
775,724865
552,761716
1113,979094
1216,10167161
1980,1609136
580,575346
844,747979
1460,1469884
2230,1290086
651,954924
1675,1017778
2254,1243853
1170,1057964
1142,462242
1974,9163813
2054,1575381
196,1034064
533,553253
862,681873
1826,1369263
1994,1582286
501,629018
1368,1443340
897,5402228
2010,1286663
1050,175395
676,4646183
14,358304
500,2890058
967,6503775
1911,1591696
1106,777180
1377,1188149
240,799797
2415,773317
1254,725173
600,1922563
875,727487
273,501256
1936,2061368
684,800001
168,1604402
1490,6298610
1639,3061003
1133,890283
2237,1232506
1471,1909640
371,2373021
2298,882840
1878,1028548
1715,862238
271,321896
605,766536
1473,887823
1253,2106788
1547,4548115
214,497153
2115,878864
344,837508
838,820976
1615,1061964
147,736290
1835,1290746
1021,155895
795,2626483
1747,1435886
412,881842
1712,1111146
1223,1052980
783,1917442
342,326663
947,729857
747,2108409
173,928270
2034,2560359
377,1045631
1491,1789403
738,1828181
1329,987709
1567,965291
2068,2841795
52,2532851
18,1074081
1309,2052286
221,315244
2045,1589527
998,393726
2389,526794
1389,1593382
1140,493782
2169,1185114
1430,1361374
1385,814568
95,616385
1499,1041732
261,855052
2181,1593458
2183,783649
2078,1973225
179,611092
1126,4754217
1598,734861
716,622593
2377,907844
1587,1210381
184,434005
467,811565
1404,1319453
903,1349669
2196,1805897
71,690928
1169,881361
2095,6406853
1898,2155099
2077,1531062
1947,1371548
346,401015
2043,1587546
1207,1145261
29,14689301
2329,2178534
796,914212
1063,3791888
1528,2030203
157,7271730
932,787092
658,2934262
1757,1660815
1659,698636
2291,1173364
1838,11443190
1952,2141928
394,403555
1076,7988894
988,268280
454,1038576
1383,1200139
2060,1961502
402,909309
989,221777
1445,1223155
1472,2682427
677,816019
1616,2004811
1251,1045703
1983,762041
822,943624
963,2758792
835,862689
1033,581419
174,3519656
939,950387
691,2244295
334,764982
873,800056
2299,1257054
2055,1723874
197,777609
296,1491698
1530,2454860
1745,1218131
122,854967
378,246094
2102,1078782
2052,1224191
915,593099
1871,1160841
2229,3464767
611,473956
1771,1104834
956,1042789
1632,1051614
1887,2006050
2433,418368
2163,2201195
908,5447236
506,1010292
356,2062308
1423,1908577
2333,1460852
1154,1128896
1722,984973
2180,2592561
667,486269
886,703559
1284,4922118
333,532759
153,694378
1420,2102608
1840,1287111
721,543551
373,3095075
312,723599
1849,4728000
1622,1248568
42,1053758
971,569814
2419,591131
522,1437808
417,4289903
762,1208946
657,426610
704,1097901
732,960523
2347,925733
944,1048905
2277,690546
1806,859214
1018,1275141
1469,2014461
907,1079565
1693,837568
272,2350678
1493,1573620
519,807653
814,1349028
818,856326
734,505716
1522,848735
1638,2558702
2366,1342356
1700,1054600
1121,1447603
1914,1126129
1883,1365646
379,1055886
343,1205867
1942,1215662
1803,1081502
2295,448733
1261,692434
2012,1468644
1424,1492163
1594,1424893
232,735638
794,922923
1706,554809
2360,1890978
1820,1149837
112,1493606
999,2119412
1582,2628178
2417,539207
225,2398373
1042,120274
1192,1184933
1449,1332731
1763,2120569
1666,1631913
848,931567
621,2465179
2141,1260112
213,5483940
770,497626
337,368513
803,1132752
1182,731620
1168,721905
36,809226
105,940913
362,1134737
850,1778606
1740,1213251
856,1113407
1465,1573440
565,656762
249,325148
1474,780039
317,242975
1200,144044
1107,1197677
652,668454
70,680134
1667,4933802
1174,3247799
1088,1168080
2408,643011
410,792495
2342,1022042
1025,1324838
2091,1498103
539,1939385
601,403708
1332,984382
2359,1781721
1434,1351691
2395,1319327
837,4039403
2330,5666038
1627,2572038
806,562653
882,1396197
1484,1836382
637,1160672
423,296294
727,586814
1996,2852664
376,4891781
524,763145
150,1609555
1580,3685420
1949,1126459
1774,1469248
626,1086357
2318,801279
1845,1157388
143,507997
717,954049
566,2054164
1880,1773697
1155,572281
1431,2459753
2243,899560
2171,1690453
2186,792297
879,534289
1075,2598055
624,2108816
2388,890748
2423,646174
1366,1306390
617,649531
1324,2679698
1982,1452861
690,1306536
2284,890330
1689,4058219
1350,5316753
2312,402343
1830,2780484
1686,1332920
1692,1180236
465,751452
1187,990712
1191,2468887
145,1215947
324,565020
1762,1019109
706,738895
714,759736
1834,1161560
1111,419672
2127,971212
901,551041
687,2528934
2214,857330
1630,2305547
1939,2527133
1824,741287
100,717002
290,385647
878,1190085
1455,1062701
391,739690
86,591379
1275,1776779
1523,1154880
475,1159134
1694,1669149
1295,389194
2092,1800490
1137,872641
2072,1417316
1235,924318
832,6636475
591,622046
2425,566101
1620,2306549
1635,2200326
109,805111
1160,1466095
222,4060628
1052,713999
1311,478878
2103,993232
2426,1009069
253,895199
1072,277544
1619,1048304
1492,1507409
545,1417163
949,1067460
1571,691538
843,2004519
63,849859
413,22270883
884,490275
451,811914
1258,932024
656,664485
1879,8218896
1581,1981978
1486,2991225
1485,1469734
1327,1489438
2267,893022
77,761930
2069,2399273
869,1486880
2247,1284067
450,996694
1019,2314111
1560,1852444
1979,1365169
696,235221
1741,1119970
811,1370710
2420,665328
910,1399333
1521,1017789
1049,792779
505,1098346
405,775430
183,324266
1876,1304737
1717,1464877
609,3917039
2033,2233265
1968,1613847
20,966439
2218,1910593
1425,1361404
1590,822505
2224,1384978
327,438972
1874,4597270
2422,248411
266,1410164
1890,3460338
1756,1652993
2178,778810
865,461382
2398,721731
2344,907047
489,1404586
606,524790
1738,3705589
152,672254
889,1660801
2392,1139827
2327,2679881
269,4204848
96,4374792
2258,1195885
964,287416
1799,976621
871,938456
1572,1977165
532,2066733
1067,2950307
1099,3055565
2125,1413042
2311,1502615
715,621361
2197,859817
2401,734095
1538,900115
2405,691593
469,914170
564,1718568
1798,1465712
461,2088983
1277,1909462
1795,906025
1869,1257079
1393,3062980
1345,9006600
695,3951683
1175,2364799
1752,1358570
928,1390908
1214,640604
1372,1118006
243,9315483
1679,2235902
1312,8033595
648,772299
313,487630
155,562457
1303,783528
1150,1878242
1801,1304427
1046,288585
1640,1509188
1306,943968
1927,1488893
1495,925046
25,1096862
2244,1345520
15,2702470
1321,3846779
883,938976
1360,1005088
1844,1231198
1612,3130752
497,1557795
515,956175
2416,766721
1478,1397126
1411,934335
1095,975115
542,397719
633,1514014
431,1677738
728,1154719
1288,926948
2257,1304221
316,1314201
1920,2556755
1337,1642461
319,223082
1031,16209727
2025,1074684
2189,1477238
1110,3539952
1888,1252289
1527,992489
753,948622
562,741625
668,3087856
252,1013879
357,1139732
1278,766305
1300,917877
1202,1112964
129,1543596
144,913666
960,777463
905,393695
1096,1565486
235,984223
1061,4234334
