,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
98,98.0,adam,mse,relu,relu,10.0,32.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
99,99.0,adam,mse,relu,relu,10.0,32.0,1.0,1.0,10.0,0.0,6479877242880.0,6479877242880.0,1633449.875,99.93485260009766,1.0,2545560.25,60.105777740478516,0.5289031736657247
100,100.0,adam,mse,relu,relu,10.0,32.0,2.0,1.0,1.0,0.0,6483556171776.0,6483556171776.0,1634139.125,99.98792266845703,1.0,2546282.75,88.49823760986328,0.5289031736657247
101,101.0,adam,mse,relu,relu,10.0,32.0,2.0,1.0,2.0,0.0,6480162455552.0,6480162455552.0,1633503.75,99.93903350830078,1.0,2545616.25,61.138763427734375,0.5289031736657247
102,102.0,adam,mse,relu,relu,10.0,32.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
103,103.0,adam,mse,relu,relu,10.0,32.0,2.0,1.0,10.0,0.0,6480974577664.0,6480974577664.0,1633655.125,99.95062255859375,1.0,2545775.75,64.39639282226562,0.5289031736657247
104,104.0,adam,mse,relu,relu,10.0,32.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
105,105.0,adam,mse,relu,relu,10.0,32.0,4.0,1.0,2.0,0.0,6482252267520.0,6482252267520.0,1633894.875,99.96912384033203,1.0,2546026.75,72.0896987915039,0.5289031736657247
106,106.0,adam,mse,relu,relu,10.0,32.0,4.0,1.0,4.0,0.0,6481165942784.0,6481165942784.0,1633691.0,99.95337677001953,1.0,2545813.5,65.31214141845703,0.5289031736657247
107,107.0,adam,mse,relu,relu,10.0,32.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
108,108.0,adam,mse,relu,relu,10.0,32.0,10.0,1.0,1.0,0.0,6482809585664.0,6482809585664.0,1633999.25,99.97716522216797,1.0,2546136.25,77.18658447265625,0.5289031736657247
109,109.0,adam,mse,relu,relu,10.0,32.0,10.0,1.0,2.0,0.0,6479229222912.0,6479229222912.0,1633327.75,99.9254150390625,1.0,2545433.0,58.03016662597656,0.5289031736657247
110,110.0,adam,mse,relu,relu,10.0,32.0,10.0,1.0,4.0,0.0,6481030152192.0,6481030152192.0,1633665.5,99.95143127441406,1.0,2545786.75,64.6519546508789,0.5289031736657247
111,111.0,adam,mse,relu,relu,10.0,32.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
112,112.0,adam,mse,relu,relu,10.0,100.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
113,113.0,adam,mse,relu,relu,10.0,100.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
114,114.0,adam,mse,relu,relu,10.0,100.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
115,115.0,adam,mse,relu,relu,10.0,100.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
116,116.0,adam,mse,relu,relu,10.0,100.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
117,117.0,adam,mse,relu,relu,10.0,100.0,2.0,1.0,2.0,0.0,6483645825024.0,6483645825024.0,1634156.625,99.98934173583984,1.0,2546300.5,91.00294494628906,0.5289031736657247
